oa_code,All people,Very good health,Good health,Fair health,Bad health,Very bad health
S00089740,124,74,44,4,2,-
S00089741,109,73,26,6,3,1
S00089742,172,132,32,8,-,-
S00089743,164,107,49,7,1,-
S00089744,81,57,16,7,1,-
S00089745,130,100,19,9,1,1
S00089746,121,97,22,2,-,-
S00089747,100,58,35,5,2,-
S00089748,115,83,27,5,-,-
S00089749,62,45,15,2,-,-
S00089750,103,81,20,2,-,-
S00089751,110,92,12,6,-,-
S00089752,108,75,27,6,-,-
S00089753,136,91,36,8,1,-
S00089754,124,94,24,3,3,-
S00089755,65,42,16,5,1,1
S00089756,77,39,35,3,-,-
S00089757,122,84,29,6,1,2
S00089758,112,78,24,10,-,-
S00089759,172,112,38,17,5,-
S00089760,80,39,32,6,3,-
S00089761,59,42,15,2,-,-
S00089762,119,77,32,7,2,1
S00089763,108,71,30,4,2,1
S00089764,131,82,36,11,2,-
