oa_code,All people,Church of Scotland,Roman Catholic,Other Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,No religion,Religion not stated
S00106074,91,30,15,2,-,-,-,-,-,-,39,5
S00106075,69,23,9,3,-,-,-,-,-,-,29,5
S00106076,146,54,13,8,1,-,-,-,1,1,52,16
S00106077,89,25,11,1,-,-,1,-,-,-,45,6
S00106078,113,29,17,5,-,-,-,7,-,-,47,8
S00106079,139,33,2,14,-,-,1,-,-,-,82,7
S00106080,96,30,12,3,-,-,-,5,-,-,33,13
S00106081,142,37,23,-,-,-,-,4,-,-,73,5
S00106082,123,27,31,5,-,-,-,8,-,1,47,4
S00106083,129,13,15,2,-,3,-,39,4,-,43,10
S00106084,87,26,18,2,-,-,-,-,-,-,33,8
S00106085,97,6,23,5,-,-,-,8,-,-,49,6
S00106086,124,28,17,3,-,-,-,6,-,-,56,14
S00106087,124,21,21,11,-,-,-,-,-,-,64,7
S00106088,134,36,23,7,-,5,-,8,6,-,40,9
S00106089,92,36,20,-,-,-,-,-,-,-,30,6
S00106090,81,20,10,2,-,3,-,2,-,-,42,2
S00106091,110,23,14,5,-,-,-,15,-,1,43,9
S00106092,128,33,17,11,-,-,-,12,-,1,48,6
S00106093,99,23,20,-,-,-,-,16,1,1,33,5
S00106094,89,14,14,2,2,-,-,7,-,-,49,1
S00106095,140,17,26,11,3,-,-,-,-,-,76,7
S00106096,115,29,14,4,-,-,-,4,12,-,30,22
S00106097,122,36,10,5,-,-,-,8,-,1,47,15
S00106098,145,49,19,3,-,-,-,-,3,-,58,13
S00106099,157,38,24,7,-,1,-,7,-,1,70,9
S00106100,127,25,19,7,2,-,-,10,-,1,62,1
S00106101,130,30,20,10,-,-,-,-,-,1,56,13
S00106102,113,36,17,7,-,-,-,-,-,-,45,8
S00106103,84,17,13,5,1,-,-,7,-,1,34,6
S00106104,81,14,10,5,1,-,-,7,-,1,41,2
S00106105,114,18,21,6,-,-,-,4,-,-,61,4
S00106106,112,24,9,8,1,-,-,4,-,-,59,7
S00106107,129,50,7,11,-,2,-,8,-,-,40,11
S00106108,69,21,3,4,-,-,-,6,2,-,26,7
S00106109,164,41,23,11,-,-,-,4,1,1,71,12
S00106110,168,42,29,6,-,-,-,25,7,-,44,15
S00106111,77,14,15,5,-,-,-,1,1,-,38,3
S00106112,110,28,4,4,-,-,-,20,5,-,47,2
S00106113,115,48,20,1,-,-,-,1,4,-,38,3
S00106114,131,63,19,3,-,-,-,1,-,1,41,3
S00106115,102,35,15,8,-,-,-,10,2,-,27,5
S00106116,87,36,10,2,-,-,-,6,-,-,28,5
S00106117,71,23,7,1,-,-,-,4,-,-,33,3
S00106118,119,29,24,9,-,-,-,12,-,-,39,6
S00106119,86,15,12,1,-,-,-,-,-,1,53,4
S00106120,63,14,13,5,1,-,1,2,-,1,23,3
S00106121,88,24,17,4,-,-,-,-,-,-,36,7
S00106122,84,15,10,5,-,-,-,-,-,2,46,6
S00106123,118,29,14,3,-,-,-,-,-,-,63,9
S00106124,66,16,3,1,-,-,-,4,-,-,37,5
S00106125,123,27,28,2,-,-,1,-,-,-,61,4
S00106126,66,13,8,2,-,-,-,-,-,-,42,1
S00106127,90,22,10,1,-,-,-,-,-,-,56,1
S00106128,142,36,17,7,-,-,-,1,-,-,72,9
S00106129,115,33,18,4,-,-,-,2,-,-,53,5
S00106130,133,50,15,1,-,-,-,4,-,-,55,8
S00106131,146,63,17,3,-,-,-,-,-,2,56,5
S00106132,61,30,9,5,-,-,-,-,-,-,14,3
S00106133,133,37,18,2,-,-,-,-,-,-,63,13
S00106134,115,35,12,3,-,-,-,-,-,-,56,9
S00106135,108,34,19,2,-,-,-,2,2,1,43,5
S00106136,112,27,15,8,-,-,-,-,8,2,45,7
S00106137,105,25,8,3,-,-,-,1,-,-,63,5
S00106138,121,46,16,8,-,-,-,-,-,2,41,8
S00106139,99,22,18,3,-,-,1,1,-,-,50,4
S00106140,60,13,15,-,-,-,-,1,-,-,27,4
S00106141,96,8,10,7,-,3,-,12,-,2,51,3
S00106142,104,18,16,7,1,-,-,-,-,-,58,4
S00106143,98,10,20,6,-,-,-,4,-,-,48,10
S00106144,145,14,13,14,1,-,-,13,-,-,77,13
S00106145,110,21,19,19,-,-,-,-,-,1,37,13
S00106146,79,18,21,6,-,-,-,-,-,-,29,5
S00106147,71,8,10,8,-,-,-,3,-,-,34,8
S00106148,81,1,17,6,-,-,-,8,-,-,37,12
S00106149,148,23,36,7,-,2,-,12,-,1,61,6
S00106150,115,29,15,6,-,-,-,18,-,-,36,11
S00106151,116,13,33,10,-,-,1,7,-,-,35,17
S00106152,53,8,15,9,-,-,-,-,-,-,16,5
S00106153,90,34,11,2,-,-,-,-,-,-,37,6
S00106154,138,28,15,12,-,-,-,23,-,2,54,4
S00106155,166,37,39,9,-,1,1,5,-,2,62,10
S00106156,134,22,23,6,-,-,-,10,-,1,71,1
S00106157,97,17,18,1,-,-,1,4,-,5,49,2
S00106158,112,22,11,5,-,1,-,3,-,-,59,11
S00106159,139,23,10,15,1,-,-,8,-,1,78,3
S00106160,133,14,36,1,-,2,-,5,-,1,65,9
S00106161,133,16,28,3,-,-,-,6,-,-,72,8
S00106162,137,26,19,7,1,1,-,10,-,-,63,10
