oa_code,All occupied household spaces,No central heating,Gas central heating,Electric (including storage heaters) central heating,Oil central heating,Solid fuel (for example wood coal) central heating,Other central heating,Two or more types of central heating
S00089563,40,1,34,1,0,0,0,4
S00089564,45,0,41,2,0,0,0,2
S00089565,71,1,66,4,0,0,0,0
S00089566,68,2,61,4,0,0,0,1
S00089567,62,2,55,2,0,0,0,3
S00089568,64,2,60,1,0,0,0,1
S00089569,74,0,21,50,0,0,0,3
S00089570,54,1,45,3,0,0,0,5
S00089571,61,4,50,3,1,0,0,3
S00089572,41,1,36,4,0,0,0,0
S00089573,48,0,36,11,0,0,0,1
S00089574,46,7,25,11,0,0,0,3
S00089575,35,0,34,1,0,0,0,0
S00089576,53,3,46,2,0,0,0,2
S00089577,37,0,33,2,1,0,0,1
S00089578,41,0,40,0,0,0,0,1
S00089579,38,0,36,0,0,0,0,2
S00089580,44,0,42,0,0,0,1,1
S00089581,35,0,34,0,0,0,0,1
S00089582,53,0,48,2,0,0,1,2
S00089583,77,1,67,5,0,0,0,4
S00089584,38,0,35,2,0,0,0,1
S00089585,59,0,54,3,0,0,0,2
S00089586,43,0,39,1,0,0,1,2
S00089587,43,1,31,7,0,0,0,4
S00089588,45,1,39,4,0,0,0,1
S00089589,40,0,35,4,1,0,0,0
S00089590,53,3,42,7,0,0,0,1
S00089591,45,1,41,0,0,0,1,2
S00089592,47,1,41,3,0,0,0,2
S00089593,53,0,51,2,0,0,0,0
S00089594,30,0,29,0,0,0,0,1
S00089595,48,0,40,6,0,0,1,1
S00089596,47,1,39,6,0,1,0,0
